StoreID,StoreName,Disabled,Abbreviation,ManagerEmployeeID,ManagerCommissionable,Address,City,StateProv,ZipPostal,Country,PhoneNumber,FaxNumber,DistrictName,RegionName,ChannelName,StoreType,GLCode,SquareFootage,LocationCode,Latitude,Longitude,AddressVerified,TimeZone,AdjustDST,CashPolicy,MaxCashDrawer,Serial_on_OE,Phone_on_OE,PAW_on_OE,Comment_on_OE,HideCustomerAddress,EmailAddress,GeneralLocationNotes,SaleInvoiceComment,StaffLevel,BankDetails,Taxes,LeaseStartDate,LeaseEndDate,Rent,PropertyTaxes,InsuranceAmount,OtherCharges,DepositTaken,LeaseNotes,InsuranceCompany,LandlordNotes,LandlordName,RelocationDate,UseLocationEmail,LocationEntityID,DateLastStatusChanged,UpdatedDate
1361,1129 Bohemia,0,1129N,168,FALSE,4633 Sunrise Hwy Suite 17,Bohemia,NY,11716,United States,6317548400,,District,zRetail Support,zRetail Support,,1129,1,S3UI8,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"MON-FRI 10:00-6:00, SAT 10:00-5:00, SUN 10:00-4:00",,,,,,,0,0,0,0,0,,,,,,TRUE,67723,,2017-07-11T14:13:02.15
601,1619 Ozone Park,1,1619N,168,FALSE,102-44 Atlantic Ave,Ozone Park,NY,11416,United States,,,District,zRetail Support,zRetail Support,3/4 Tier-PPP,1619,0,REXIH,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,"Mon-Sat 9-8, Sun 11-7","Spring Mobile
Dept of Consumer Affairs
License # 2024862-DCA",,,NY - Sales Tax 8.875%,,,0,0,0,0,0,08-05-2015,,,,,TRUE,55411,2017-04-27T14:17:00.447,2017-04-27T14:17:00.447
678,1636 Port Authority,0,1636N,168,FALSE,625 8th Ave,New York,NY,10018,United States,9175658378,,District,zRetail Support,zRetail Support,5 Tier-PPP,1636,0,IH4K6,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,"Spring Mobile
Dept of Consumer Affairs
License # 2024842-DCA",,,NY - Sales Tax 8.875%,,,0,0,0,0,0,03-01-2017,,,,,TRUE,63345,2015-07-07T10:39:49.41,2017-02-22T16:34:12.32
554,259 Cheyenne Commons,1,NV259,284,FALSE,3119 N Rainbow,Las Vegas,NV,89108,United States,,,District,zRetail Support,zRetail Support,5 Tier-PPP,259,0,PEG59,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,,,,0,0,0,0,0,,,,,,TRUE,38734,2017-06-06T08:04:18.363,2017-06-06T08:04:18.363
548,1607 Union City,0,1607N,168,FALSE,3509 Bergenline Ave,Union City,NJ,7087,United States,,,District,zRetail Support,zRetail Support,5 Tier-PPP,1607,0,F3HYF,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,,,,0,0,0,0,0,,,,,,TRUE,38753,,2017-02-22T16:33:46.753
2290,Nob Hill (never active),1,2058C,284,FALSE,2412 West Nob Hill Dr. Ste. 102,Yakima,CA,98902,United States,5092892128,,District,zRetail Support,zRetail Support,5 Tier-NP,2058,0,,,,Not Verified,(GMT-08:00) Pacific Time (US & Canada); Tijuana,TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,"$.95 E911 Fee (WA), WA - Sales Tax 8.2%",,,0,0,0,0,0,06-07-2017,,,,,FALSE,98016,2017-05-30T10:21:51.137,2017-05-30T10:31:37.587
2299,2638 Windermere Lakeside,0,2638F,2187,FALSE,6527 Old Brick Rd Suite 110,Windermere,FL,34786,United States,8019999999,,District,zRetail Support,zRetail Support,3/4 Tier-PPP,2638,0,A77J8,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,,"Mon-Sat 10am-8pm, Sun 11am-6pm",,,,"$.40 E911 Fee (FL), FL - Sales Tax 6.5%",2017-09-13T00:00:00,,0,0,0,0,0,12/13/2017,,,,,FALSE,106339,,2017-11-20T17:20:47.22
2307,2631 Winter Park,0,2631F,2187,FALSE,7460 University Blvd,Winter Park,FL,32792,United States,8019999999,,District,zRetail Support,zRetail Support,5 Tier-NP,2631,0,,,,Not Verified,(GMT-05:00) Eastern Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,,,0,0,0,0,0,12/13/2017,,,,,FALSE,114238,,2017-11-08T10:26:59.937
1690,973 B2B Sales (Unity Comm),0,UT973,6331,FALSE,155 N 455 W Suite 300,Salt Lake City,UT,84103,United States,8012777777,,B2B Support,zRetail Support,zRetail Support,Retail Support Center,973,0,,,,Not Verified,(GMT-07:00) Mountain Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,"UT - Salt Lake County, 1.9% E911 Fee (UT)",,,0,0,0,0,0,,,,,,TRUE,76389,2016-02-25T16:08:48.953,2017-07-13T10:31:34.077
1709,974 B2B Sales (Tech Cycle Corp),0,UT974,6331,FALSE,155 N 455 W Suite 300,Salt Lake City,UT,84103,United States,8012777777,,B2B Support,zRetail Support,zRetail Support,Retail Support Center,974,0,,,,Not Verified,(GMT-07:00) Mountain Time (US & Canada),TRUE,Single-Drawer,0,FALSE,TRUE,TRUE,FALSE,FALSE,Do Not Reply,,,,,"UT - Salt Lake County, 1.9% E911 Fee (UT)",,,0,0,0,0,0,4/29/16,,,,,TRUE,79614,2016-04-29T08:15:00.323,2017-07-13T10:31:35.037
