Store Number,Location,Market,Region,District,BAEWorkdayID,BSISWorkdayID
1442,1442 Villa Park,Central Market,Chicago Region,Chicago Central,550576,881702
2100,2100 Bloomingdale,Central Market,Chicago Region,Chicago Central,550576,881702
2115,2115 Elk Grove Village,Central Market,Chicago Region,Chicago Central,550576,881702
461,461 Hoffman Estates,Central Market,Chicago Region,Chicago Central,550576,881702
462,462 Schaumburg,Central Market,Chicago Region,Chicago Central,550576,881702
463,463 Rosemont,Central Market,Chicago Region,Chicago Central,550576,881702
464,464 Addison,Central Market,Chicago Region,Chicago Central,550576,881702
471,471 Streamwood,Central Market,Chicago Region,Chicago Central,550576,881702
1403,1403 Niles,Central Market,Chicago Region,Chicago North,601744,881702
1413,1413 Evanston,Central Market,Chicago Region,Chicago North,601744,881702
1414,1414 Sheridan IL,Central Market,Chicago Region,Chicago North,601744,881702
1436,1436 Mundelein,Central Market,Chicago Region,Chicago North,601744,881702
459,459 Round Lake Beach,Central Market,Chicago Region,Chicago North,601744,881702
460,460 Lincolnshire,Central Market,Chicago Region,Chicago North,601744,881702
470,470 Lake Zurich,Central Market,Chicago Region,Chicago North,601744,881702
474,474 Palatine,Central Market,Chicago Region,Chicago North,601744,881702
494,494 Buffalo Grove,Central Market,Chicago Region,Chicago North,601744,881702
495,495 Lake Bluff,Central Market,Chicago Region,Chicago North,601744,881702
498,498 Hawthorn Mall,Central Market,Chicago Region,Chicago North,601744,881702
499,499 Northbrook Mall,Central Market,Chicago Region,Chicago North,601744,881702
1408,1408 Chicago Brickyard,Central Market,Chicago Region,Chicago South,601744,881702
1410,1410 Chicago N Broadway,Central Market,Chicago Region,Chicago South,601744,881702
1412,1412 Melrose North Ave,Central Market,Chicago Region,Chicago South,601744,881702
2104,2104 Broadview,Central Market,Chicago Region,Chicago South,601744,881702
2123,2123 North Riverside Mall,Central Market,Chicago Region,Chicago South,601744,881702
2127,2127 Riverside,Central Market,Chicago Region,Chicago South,601744,881702
2135,2135 Summit,Central Market,Chicago Region,Chicago South,601744,881702
465,465 26th Street,Central Market,Chicago Region,Chicago South,601744,881702
2117,2117 Hodgkins,Central Market,Chicago Region,Chicago Southwest,881674,881702
1421,1421 Bridgeview,Central Market,Chicago Region,Chicago Southwest,881674,881702
2118,2118 Homer Glen,Central Market,Chicago Region,Chicago Southwest,881674,881702
2119,2119 Joliet West Jefferson,Central Market,Chicago Region,Chicago Southwest,881674,881702
2124,2124 Ottawa,Central Market,Chicago Region,Chicago Southwest,881674,881702
2132,2132 Shorewood,Central Market,Chicago Region,Chicago Southwest,881674,881702
2604,2604 New Lenox,Central Market,Chicago Region,Chicago Southwest,881674,881702
475,475 Willowbrook,Central Market,Chicago Region,Chicago Southwest,881674,881702
476,476 Lockport,Central Market,Chicago Region,Chicago Southwest,881674,881702
491,491 Morris,Central Market,Chicago Region,Chicago Southwest,881674,881702
1411,1411 Lombard,Central Market,Chicago Region,Chicago West,881674,881702
2102,2102 Bolingbrook,Central Market,Chicago Region,Chicago West,881674,881702
2113,2113 Dekalb,Central Market,Chicago Region,Chicago West,881674,881702
2121,2121 Naperville,Central Market,Chicago Region,Chicago West,881674,881702
2128,2128 Saint Charles,Central Market,Chicago Region,Chicago West,881674,881702
2603,2603 Yorktown Shopping Center,Central Market,Chicago Region,Chicago West,881674,881702
2605,2605 Chicago Neltnor,Central Market,Chicago Region,Chicago West,881674,881702
2606,2606 Wheaton,Central Market,Chicago Region,Chicago West,881674,881702
2629,2629 Montgomery IL,Central Market,Chicago Region,Chicago West,881674,881702
466,466 Orchard,Central Market,Chicago Region,Chicago West,881674,881702
478,478 Batavia,Central Market,Chicago Region,Chicago West,881674,881702
2103,2103 Northfield Square Mall,Central Market,Chicago Region,Illiana,700040,668517
2120,2120 Chicago Heights,Central Market,Chicago Region,Illiana,700040,668517
2145,2145 Mishawaka,Central Market,Chicago Region,Illiana,700040,668517
2146,2146 South Bend,Central Market,Chicago Region,Illiana,700040,668517
467,467 Bradley,Central Market,Chicago Region,Illiana,700040,668517
480,480 LaPorte,Central Market,Chicago Region,Illiana,700040,668517
481,481 Merrillville,Central Market,Chicago Region,Illiana,700040,668517
482,482 Portage,Central Market,Chicago Region,Illiana,700040,668517
483,483 Valparaiso,Central Market,Chicago Region,Illiana,700040,668517
484,484 Schererville,Central Market,Chicago Region,Illiana,700040,668517
485,485 Munster,Central Market,Chicago Region,Illiana,700040,668517
