Dealer Code,Loc #,Location,Retail IQ,District,ATT Mkt Abbrev,ATT Market Name,Region,Market,Dispute Mkt,DF,C&C,WS,WS Expires,Footprint Level,Business Expert,DF Code,Old,Old 2,ATT Location Name,ATT Location ID,ATT Region,State,Notes,Notes2,Open Date,Close Date,DC Origin,Store Origin,Acquisition Origin,TB Loc,SMF Mapping,SMF Market,DC status,Sorting Rank,Rank Description,Company
8B5KW,,SPRING – STREATOR,SPRING – STREATOR,,ILW,ILLINOIS; WISCONSIN,WISILLIN,Central,Chicago,,Yes,,,1,,,,,,,CENTRAL,IL,,,,,Spring,Whitespace,Whitespace,,0,Chicago,Active,0.5,Pending Standard,Spring
A77J8,,SPRING COMMUNICATIONS - WESTSIDE SHOPPES,SPRING COMMUNICATIONS - WESTSIDE SHOPPES,,FLP,FLORIDA,Florida,South,Florida/PuertoRico,,Yes,,,1,,,,,,,SOUTHEAST,FL,,,,,Spring,Whitespace,Whitespace,,0,Florida/Puerto Rico,Active,0.5,Pending Standard,Spring
S3UI8,1129,Bohemia,1129 Bohemia,Long Island East,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Yes,,1,,T8EVO,,,,,NORTHEAST,NY,,,,,Spring,Whitespace,Whitespace,1129,0,Metro New York,Active,1,Pending Standard,Spring
REXIH,1619,Ozone Park,1619 Ozone Park,New York,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Yes,,1,,,,,,,NORTHEAST,NY,,,,,Spring,Whitespace,Radio Shack Flip,1619,0,Metro New York,Active,1,Pending Standard,Spring
IH4K6,1636,Port Authority,1636 Port Authority,New York,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Yes,,1,,BTR73,,,,,NORTHEAST,NY,,,,,Spring,Whitespace,Radio Shack Flip,1636,0,Metro New York,Active,1,Pending Standard,Spring
,1607,Union City,1607 Union City,,NYR,NEW YORK; NEW JERSEY,NYNJ,Northeast,Metro New York,,Yes,Yes,,1,,,,,,,NORTHEAST,NJ,,,,,Spring,Whitespace,Whitespace,1607,0,Metro New York,Active,1,Pending Standard,Spring
N98V2,1815,Tupelo,1815 Tupelo,MS-AL,GLF,GULF STATES,Florida Gulf,South,Gulf,,Yes,Yes,,1,,6A7L2,,,,,SOUTHEAST,MS,,,,,Spring,Whitespace,Whitespace,1815,0,Gulf,Active,1,Pending Standard,Spring
,1249,Polk Street,1249 Polk Street,,NCA,NORTHERN CALIFORNIA,Central California,West,North California,,Yes,Yes,,1,,SHBEX,,,,,WEST,CA,,,,,Spring,Whitespace,Radio Shack Flip,1249,0,Central Valley,Active,1,Pending Standard,Spring
,1596,Fremont Mowry,1596 Fremont Mowry,,NCA,NORTHERN CALIFORNIA,Central California,West,North California,,Yes,Yes,,1,,,,,,,WEST,CA,,,8/2/2017,,Spring,Whitespace,Whitespace,1596,0,Central Valley,Active,1,Pending Standard,Spring
47MDZ,7117,GS SWS,7117 GS SWS,GS SWS,RMR,ROCKY MOUNTAINS,GS SWS,GS SWS,,,No,,,,,,,,,,WEST,UT,201701 SWS Sales,,1/13/2017,,Spring,Spring,Spring,7117,7117,,Active,2.5,GS SWS,Spring
,972,Entertainment Sales,972 Entertainment Sales,Entertainment Sales,RMR,ROCKY MOUNTAINS,B2B Support,Business,,,Yes,,,,,,,,,,WEST,UT,201603 Business,,3/1/2016,,Spring,Spring,Base,972,972,,Active,3,Open Standard,Spring
,971,B2B Sales (Solution Providers),971 B2B Sales (Solution Providers),Solution Providers,RMR,ROCKY MOUNTAINS,B2B Support,Business,,,Yes,,,,,,,,,,WEST,UT,201603 Business,,3/1/2016,,Spring,Spring,Base,971,971,,Active,3,Open Standard,Spring
,973,B2B Sales (Unity Comm),973 B2B Sales (Unity Comm),Solution Providers,RMR,ROCKY MOUNTAINS,B2B Support,Business,,,Yes,,,,,,,,,,WEST,UT,201603 Business,,3/1/2016,,Spring,Spring,Base,973,973,,Active,3,Open Standard,Spring
,974,B2B Sales (Tech Cycle Corp),974 B2B Sales (Tech Cycle Corp),Solution Providers,RMR,ROCKY MOUNTAINS,B2B Support,Business,,,Yes,,,,,,,,,,WEST,UT,201603 Business,,3/1/2016,,Spring,Spring,Base,974,974,,Active,3,Open Standard,Spring
,970,Business SD,970 Business SD,Wireless Sales,RMR,ROCKY MOUNTAINS,B2B Support,Business,,,Yes,,,,,,Q0CKG,FIJ7N,,,WEST,UT,201509 Business,,1/1/2001,,Spring,Spring,Base,970,970,,Active,3,Open Standard,Spring
QWNBB,461,Hoffman Estates,461 Hoffman Estates,Chicago Central,ILW,ILLINOIS; WISCONSIN,Chicago,Central,Chicago,,Yes,,,1,,2M5DR,,,SPRING - HOFFMAN ESTATES,117541,CENTRAL,IL,201504 Relo Whitespace,,4/29/2015,,Spring,Spring,ClearChoice Mobility - Chicago,461,461,Chicago,Active,3,Open Standard,Spring
