"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Spring Mobile Multi-Tracker","","","","","","","","","Store Charactaristics","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Formula Link","AT&T Region","AT&T Market","Spring Market","Region","District","Loc","Store Name","Street Address","City, State, Zip","Square Feet","Total Monthly Rent","Lease Expiration","October 2017 Total Ops","Average Last 12 Months Ops","Average Traffic Count Last 12 Months","June SMF","Dealer Code","Exterior Photo","Interior Photo","Build Type","Store Type","C&C Designation","Remodel or Open Date","Authorized Retailer Tag Line","Pylon/Monument Panels","Selling Walls","Memorable Accessory Wall","Cash Wrap Expansion","Window Wrap Grpahics","Live DTV","Learning Tables","Community Table","Diamond Displays","C Fixtures","TIO Kiosk","Approved for Flex Blade","Cap Index Score","Selling Walls Notes"
"","461 Hoffman Estates","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","461","Hoffman Estates","2505 W Golf Rd","Hoffman Estates, IL 60169","2211","$6,083.87","4/30/20","37","51","719","$910.25","QWNBB","https://www.dropbox.com/s/3xf5wqwaeg91wnl/461%20Hoffman%20Estates.jpg?dl=0","https://www.dropbox.com/s/grsmbr0opixwo88/461%20Hoffman%20Estates%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","4/29/2015","YES","4","11","0","NO","","Installed","3","YES","1","1","NO","","","pegs include all floor displays"
"","462 Schaumburg","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","462","Schaumburg","2640 W Schaumburg Rd","Schaumburg, IL 60194","2720","$8,897.26","5/31/20","233","240","2296","$24,794.47","9XCXG","https://www.dropbox.com/s/pmjuht6rt8bea2m/462%20Schaumbrg.jpg?dl=0","https://www.dropbox.com/s/fp5f8jrv5twhozw/462%20Schaumbrg%20Inside.jpg?dl=0","DES2","End Cap Strip","Complete","","YES","2","8","0","NO","","Installed","0","NO","2","1","NO","","",""
"","463 Rosemont","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","463","Rosemont","7024 Mannheim Rd","Rosemont, IL 60018","1050","$4,398.13","3/31/17","195","217","1977","$20,809.74","ES80Y","https://www.dropbox.com/s/erxzgyjp2objibb/463%20Rosemont.jpg?dl=0","https://www.dropbox.com/s/tggthub0dc1j8js/463%20Rosemont%20Inside.jpg?dl=0","GEN","Inline Strip","Relocate","","YES","0","7","0","NO","","Denied","0","NO","1","0","NO","","",""
"","464 Addison","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","464","Addison","1435 W Lake St","Addison, IL 60101","3000","$11,158.42","9/30/19","189","231","2137","$22,576.68","SW358","https://www.dropbox.com/s/ey5m42a34azkd5o/464%20Addison.jpg?dl=0","https://www.dropbox.com/s/2wgiosnlxf0o5mx/464%20Addison%20Inside.jpg?dl=0","DES1","Stand Alone","Complete","12/20/2014","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","471 Streamwood","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","471","Streamwood","659 Sutton Rd","Streamwood, IL 60107","2141","$8,024.21","8/31/19","87","111","1344","$2,605.23","YVOHC","https://www.dropbox.com/s/ox8bz5ayfwqt1ou/471%20Streamwood.jpg?dl=0","https://www.dropbox.com/s/so959on2mh3iz8u/471%20Streamwood%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","8/13/2014","YES","2","11","0","NO","","Denied","2","YES","1","2","NO","","",""
"","1403 Niles","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","1403","Niles","7201 W Dempster St Suite A","Niles, IL 60714","1710","$6,565.51","5/31/20","182","129","1442","$5,789.94","CNAPU","https://www.dropbox.com/s/u79dbseekq3u1ln/1403%20Niles.jpg?dl=0","https://www.dropbox.com/s/wq15drvadf5pnxx/1403%20Niles%20inside.jpg?dl=0","DES1","End Cap Strip","Complete","5/6/2015","YES","0","11","0","NO","","Pending","3","YES","1","2","NO","","",""
"","1413 Evanston","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","1413","Evanston","1908 Dempster St Unit A","Evanston, IL 60202","2416","$5,226.96","1/31/18","141","101","1313","$974.33","VAO23","https://www.dropbox.com/s/ti0ddbdflimsfdk/1413%20Evanston%20Outside.jpg?dl=0","https://www.dropbox.com/s/u195cfu468dfe6q/1413%20Evanston%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","7/22/2015","YES","0","13","0","NO","","Pending","3","YES","1","2","NO","","",""
"","1414 Sheridan IL","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","1414","Sheridan IL","6445 N Sheridan","Chicago, IL 60626","2500","$3,541.67","1/31/21","83","80","1253","$654.58","0ZXAZ","https://www.dropbox.com/s/tpi2qph5xrzg1we/1414%20Sheridan%20IL.jpg?dl=0","https://www.dropbox.com/s/k3ze4rapvno7znv/1414%20Sheridan%20IL%20Inside.jpg?dl=0","DES1","Inline Strip","Complete","8/12/2015","YES","0","12","0","15 Panel","","Pending","5","YES","1","2","NO","","462",""
"","1442 Villa Park","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","1442","Villa Park","60-64 E N Ave","Villa Park, IL 60181","2400","$6,652.12","2/28/21","75","69","1024","$654.08","92ZN3","https://www.dropbox.com/s/3a9ks1xdogs69if/1442%20Villa%20Park%20Outside.jpg?dl=0","https://www.dropbox.com/s/8qs1w4rwia2yy9o/1442%20Villa%20Park%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","12/30/2015","YES","0","11","0","NO","","Installed","3","YES","1","2","NO","","",""
"","2100 Bloomingdale","CENTRAL","GREATER LAKES","Central","Chicago","Chicago Central","2100","Bloomingdale","383 W Army Trail Rd Suite 800","Bloomingdale, IL 60108","2200","$8,896.73","5/31/25","175","174","1797","$15,587.72","75FOB","https://www.dropbox.com/s/55rf7itte2razd8/2100%20Bloomingdale%20Outside.png?dl=0","https://www.dropbox.com/s/t6ua9364xdwvic3/2100%20Bloomingdlae%20Inside.jpg?dl=0","DES1","End Cap Strip","Complete","","YES","2","12","0","15 Panel","","Pending","4","YES","0","0","NO","NO","",""
