Spring Mobile - AT&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comp,1/31/2016,,8/27/2017,,,,NA
Store #,Store Name,Address,City,State,Zip,Market,Region,District,State,Open Date,Market VP,Region Director,District Manager,,Classification,Acquisition Name,Store Tier, Sq Ft , Sq Ft Range ,Closed Date,Status,Attribute,Base?,Comp?,Same?,,,1396,,,,Same,8/28/2016,,,,,,Base
101,Layton Store,2092 Layton Hills Mall Drive,Layton,UT,84041,Central Market,Rocky Mountain Region,Utah North,Utah,4/1/2006,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,3,"1,094", 1000-1500 ,,Open,Base,x,x,x,3,,,,,,,,,,,,,Acquisition
103,Newgate,3651 Wall Avenue Suite 2000,Ogden,UT,84405,Central Market,Rocky Mountain Region,Utah North,Utah,4/1/2006,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,3,"1,105", 1000-1500 ,,Open,Base,x,x,x,4,,,,,,,,,,,,,New
105,Payson,908 S. Growers Grove Blvd,Payson,UT,84651,Central Market,Rocky Mountain Region,Utah South,Utah,8/5/2015,Josh Heck,Tyler Stoker,David Peterson,,WS,GME Flip,5,"1,395", 1000-1500 ,,Open,WS - GME Flip,,x,x,5,,,,,,,,,,,,,
107,South Logan,957 S. Highway 89-91 Suite 150,Logan,UT,84321,Central Market,Rocky Mountain Region,Idaho,Utah,8/27/2015,Josh Heck,Tyler Stoker,Open,,WS,FY2015,4,"2,000", 1500-2000 ,,Open,WS - FY2015,,x,x,5,,,,,,,,,,,,,
111,Shadow Creek,2225 E. Centennial Pkwy Ste. 104,North Las Vegas,NV,89081,West Market,Southwest Region,Las Vegas,Nevada,9/30/2015,Jon Betts,Joshua Poll,Brady Orchard,,WS,FY2015,2,"2,000", 1500-2000 ,,Open,WS - FY2015,,x,x,3,,,,,,,,,,,,,
117,Sardine Canyon,855 West 1100 South Suite B,Brigham City,UT,84302,Central Market,Rocky Mountain Region,Idaho,Utah,4/1/2006,Josh Heck,Tyler Stoker,Open,,Base,,4,"1,255", 1000-1500 ,,Open,Base,x,x,x,4,,,,,,,,,,,,,
122,Harrison,1210 East 4800 South,Ogden,UT,84403,Central Market,Rocky Mountain Region,Utah North,Utah,4/1/2006,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,4,"2,062", 2000-2500 ,,Open,Base,x,x,x,4,,,,,,,,,,,,,NA
124,West Bountiful,71 North 500 West Suite B,West Bountiful,UT,84087,Central Market,Rocky Mountain Region,Utah North,Utah,4/1/2006,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,1,"2,256", 2000-2500 ,,Open,Base,x,x,x,1,,,,,,,,,,,,,Open
125,Clinton,1776 N. 2000 W. Lot 6,Clinton,UT,84015,Central Market,Rocky Mountain Region,Utah North,Utah,4/1/2006,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,3,"1,434", 1000-1500 ,,Open,Base,x,x,x,3,,,,,,,,,,,,,Pre-Open
128,Station Park,220 North Central Ave.,Farmington,UT,84025,Central Market,Rocky Mountain Region,Utah North,Utah,12/28/2013,Josh Heck,Tyler Stoker,Joseph Schwartz,,Base,,1,"1,650", 1500-2000 ,,Open,Base,x,x,x,2,,,,,,,,,,,,,
